,userid,name,description,url,user_domain,weihao,gender,followers_count,bi_followers_count,friends_count,statuses_count,favourites_count,ucreate_at,allow_all_act_msg,geo_enabled,verified,allow_all_comment,verified_reason,credibility1,credibility,credibility3
300,1750295047,宙宙贝,我不是淑女。我什么时候才能当上超人啊。,,beidatou,,f,1349,233,571,3999,99,Thu Jun 03 10:54:23 +0800 2010,0,1,0,1,,0,1,2
301,1750782350,威0001,关注电商 关注互联网 关注最新科技,,qkltuan,,m,601,142,1997,5592,162,Fri Jun 04 18:26:58 +0800 2010,1,1,0,1,,3,2,2
302,1751497823,#NAME?,珍惜，奉献，豁达，勤奋！,,gaozhiwei0209,,m,95,24,241,174,9,Sun Jun 06 00:04:45 +0800 2010,0,1,0,0,,0,2,2
303,1752023062,Lien-randy,你永在我心,,1a2b3c4d5f6d,208883998,m,312,165,277,734,102,Tue Jun 08 13:05:15 +0800 2010,1,1,0,1,,1,2,2
304,1752182074,在路上209,"It was the best of times, it was the worst of times.",http://blog.sina.com.cn/ontheway209,ontheway209,311312333,m,5307,757,1360,8872,202,Tue Jun 08 13:01:03 +0800 2010,0,1,0,1,,1,0,1
305,1752891577,剑客凌凌漆,因梦而生，因梦而醉。,,,,m,431,46,128,95,57,Sat May 14 18:26:47 +0800 2011,1,1,0,1,,2,1,2
306,1756434105,创意家居,爱生活，爱创意家居！,,saying469,,m,1057903,150,525,15077,3,Thu Jun 10 22:15:44 +0800 2010,1,1,0,1,,0,2,1
307,1756766391,甄选,无,,,,m,288,160,1171,3501,5,Sat Oct 22 21:49:00 +0800 2011,0,1,0,1,,2,2,2
308,1757862565,煎饼是个帅气的蹇兵,当天快乐一生都记起 心早给你,,,,m,585,385,487,480,15,Tue Jun 15 16:26:55 +0800 2010,0,1,0,1,,0,1,2
309,1758634995,崂山崂顶石头,被青岛啤酒违法下岗的崂山农民，经历过无数次的上访；法院开庭--都在扯皮；最终明白了：国家体制是个病体，是所有社会不公平的病根！我有责任揭露！,http://blog.sina.com.cn/u/1758634995,,,m,178,26,87,6120,1,Wed Oct 26 21:56:50 +0800 2011,0,1,0,1,,1,2,1
310,1758895713,啊砸,电影是不会骗人的！,http://blog.sina.com.cn/u/1758895713,loversam,,m,1119,198,531,6796,218,Thu Jun 17 08:56:04 +0800 2010,0,0,0,1,,1,1,1
311,1760622272,低调穿行每日冥想,,,,,f,636,112,220,4936,83,Fri Jun 11 16:47:52 +0800 2010,1,1,0,0,,1,2,2
