,userid,name,description,url,user_domain,weihao,gender,followers_count,bi_followers_count,friends_count,statuses_count,favourites_count,ucreate_at,allow_all_act_msg,geo_enabled,verified,allow_all_comment,verified_reason,credibility1,credibility,credibility3
900,2984756115,共婵娟20,梦想还是要有的，万一实现了呢？,http://blog.sina.com.cn/u/2984756115,,,f,1412,417,827,8613,0,Fri Oct 05 12:18:28 +0800 2012,1,0,0,1,,1,1,1
901,2987393014,作家郑午然,"华颠萎寥落,白眼看鸡虫",,,,m,29,9,138,96,0,Tue Sep 04 15:30:38 +0800 2012,0,1,0,1,,0,2,2
902,2988550625,阿茶哼唧_,?初心团魂不灭.折翼の挖掘姬.欢迎勾搭.?(^?^*)汪汪汪！,http://waxberrymushroom17.qzone.qq.com,,,f,184,32,424,658,52,Mon Jul 01 19:39:37 +0800 2013,0,1,0,1,,1,2,1
903,2988762274,孙国莉,天亦有情天亦老，人间正道是沧桑！ [微信号：sgl_12365802],,,,m,257,74,593,1539,6,Wed Sep 05 10:32:35 +0800 2012,0,1,0,1,,1,2,2
904,2996286644,木匠56,刨花直窜过肩膀，方显木匠功夫深,http://www.unicornblog.cn/user1/76/index.html,,,m,966,112,150,6446,15,Mon Sep 10 14:56:23 +0800 2012,0,1,0,1,,0,1,1
905,2997683032,gobp61u,"Не ждите чудо ,Чудите сами .",,,533267832,m,153,10,120,3645,8,Tue Sep 11 14:46:45 +0800 2012,0,1,0,1,,2,2,2
906,3007997913,梅川酷岔儿,做一个优质的男人。,http://blog.sina.com.cn/u/3007997913,,746254123,m,398,268,289,200,15,Mon Oct 15 13:49:40 +0800 2012,0,1,0,1,,1,1,1
907,3025354902,看不懂TA點訫,一个人流浪，远方——未知的地方,,,,m,30,8,49,75,0,Mon Mar 11 22:40:38 +0800 2013,0,1,0,1,,1,3,3
908,3030894972,詹浩鸣,鹰击天风壮，鹏飞海浪春。,,,637610678,f,323,38,1642,4229,0,Tue Dec 18 18:13:10 +0800 2012,1,1,0,1,,3,2,2
909,3033751842,JayLemon,,,,,m,181,7,196,0,0,Mon Nov 04 13:13:23 +0800 2013,0,1,0,1,,3,3,3
910,3042027172,Santos和老木蚊,有线通信系统工程师,,,,m,79,40,92,131,0,Sat Dec 29 14:21:04 +0800 2012,1,1,0,1,,1,2,2
911,3045088253,周克俊in成都,On the road，into the wild！,,,,m,1396,101,394,435,101,Mon Jan 07 22:47:43 +0800 2013,0,1,0,1,,3,1,2
912,3049093385,兔子要好好加油,,,,,f,169,41,241,204,1,Sun Oct 28 23:29:42 +0800 2012,0,1,0,1,,2,2,2
913,3057256361,DC_林夕,"★,°*:.☆\(￣▽￣)/:*.°★* (′?`)ノ",,,,f,134,71,406,576,357,Mon Oct 22 14:22:36 +0800 2012,0,0,0,0,,2,2,2
914,3057893562,齐思雨浓,,,,,f,8,0,62,21,0,Fri Jun 21 17:40:02 +0800 2013,0,1,0,1,,1,3,3
915,3060629383,qiuqiu37371,Place your time and energy on someone who will add sunshine to your life.,,,,f,253,128,313,417,16,Sat Oct 20 22:40:43 +0800 2012,0,1,0,1,,2,2,2
916,3090867221,小尾巴啦zz,走过的路，习惯性站在路的左边。,,,,f,183,77,94,133,0,Tue Nov 06 10:16:56 +0800 2012,0,1,0,1,,2,2,2
917,3092212797,雨眠469891,鸟儿飞过辽阔的天空，自由终将降临大地。,,,,m,52,4,124,442,75,Wed Nov 07 11:37:27 +0800 2012,0,1,0,1,,1,2,2
918,3094360047,柯枔,人之所以成其为人，因为能恪守人性良知和道德底线。拯救那些失去人性甚至连兽性都不能恪守的所谓“人”，共建咱们中华人家园。,,,,m,183,109,268,673,12,Mon Nov 05 23:49:51 +0800 2012,1,0,0,1,,2,2,2
919,3095416771,竹莲灯芯,儿科中医崔霞！,http://diy.foundertype.com/efont/FontShowForMobile.aspx,fzfont,,m,23,2,47,569,1,Tue Nov 06 16:27:14 +0800 2012,0,1,0,1,,2,3,1
920,3099638340,success-ge,共贏者永胜,,,,m,1003,7,69,267,0,Sat Jan 05 20:03:12 +0800 2013,1,1,0,1,,1,2,2
921,3099896503,合肥高楼迷,高楼迷合肥版版主sangguo ~~~关注城市地标更关注城市发展~~~,http://www.gaoloumi.com,hfglm,,m,2330,351,835,10911,2,Sat Nov 10 21:38:19 +0800 2012,0,0,0,1,,0,1,1
922,3103283195,HF_Mr_Lee,爱生活，爱美好！,,,,m,53,4,211,109,3,Mon Nov 12 11:20:08 +0800 2012,1,1,0,1,,1,2,2
923,3119140452,i_tarski,我不悲伤，不绝望，不唱反调，不骂，不出鬼主意--我自得恶果，所以不必悲伤；不抱希望，所以不绝望；我自寻路，一个人走，所以不反激。,,tarski,,m,74,4,125,637,15,Thu Jan 10 18:33:49 +0800 2013,0,0,0,0,,1,3,2
924,3127877493,南宋官吏,,,,,m,7,1,24,4,2,Mon Nov 19 11:16:10 +0800 2012,0,1,0,1,,3,3,3
925,3129461152,日月经天江河行地0118五,唯善呈和 ● 至诚居德,,,,f,3601,2731,2736,8789,35,Fri Jan 18 23:25:10 +0800 2013,0,0,0,0,,0,2,2
926,3130483323,蔡伦Berlin,,,Max2050Tsai,,m,365,35,44,3074,36,Sun Aug 04 02:05:43 +0800 2013,0,0,0,1,,0,2,2
927,3140415077,火烧战舰,热爱生活，热爱体育的大学生，是个吃货，篮球，足球最爱，,http://blog.sina.com.cn/u/3140415077,,,m,48,5,86,192,13,Sun Nov 25 17:50:27 +0800 2012,0,1,0,1,,1,2,1
928,3140969637,丶青涩的大笨笨笨钟,,,,,m,105,42,106,638,19,Sat Jan 19 15:29:35 +0800 2013,0,1,0,1,,2,2,2
929,3145092777,王思聪现女友的前男友,我是猴子派来的审计师…,,,,m,24,4,90,289,1,Tue Nov 27 01:58:45 +0800 2012,0,1,0,1,,2,3,2
930,3151205637,杀生秀才,好人，就是好人,,,,m,746,9,137,6118,1,Wed Nov 21 20:09:04 +0800 2012,0,1,0,1,,2,2,2
931,3156811782,应县佛宫寺释迦塔,千年木塔，如来道场,,,,m,1309,85,272,1973,83,Sun Jan 20 20:12:17 +0800 2013,0,1,0,1,,0,1,2
932,3157257894,妄言P,试图成为正能量人物的负能量集合体 头像出处Pid：37732588,,Yowanep,,m,85,43,204,1824,10,Wed Feb 06 20:01:48 +0800 2013,0,1,0,1,,2,2,2
933,3158286801,印余望,有志者自有千方百计，无志者只感千难万难。,,,523480754,f,382,76,1841,5283,0,Sun Dec 02 17:44:15 +0800 2012,1,1,0,1,,3,2,2
934,3158500527,莫娅祥,任何东西都没有像大胆的幻想那样能促进未来的创立。今天的空想，就是明天的现实。,,,534508466,f,289,86,1858,6952,0,Sun Dec 02 18:56:50 +0800 2012,0,1,0,1,,3,2,2
935,3160227432,戒尺先生,个人微。信号：zqdzj8,,,612323498,f,1090079,237,420,9978,802,Mon Jan 21 15:44:46 +0800 2013,0,0,1,1,中驰文化传媒（北京）有限公司  广告部经理,0,0,0
936,3166403295,沙枣树的花,一颗小石头,,,,m,130,30,183,7326,6,Tue Nov 27 21:26:34 +0800 2012,0,0,0,1,,1,2,2
937,3167336993,有味47,,,,,m,14,5,113,82,0,Tue Nov 27 15:07:12 +0800 2012,0,1,0,1,,2,3,3
938,3169357594,power-yang,塔利班驻苏北办事处主任,,CuminumcyminumL,,m,69,3,149,1425,383,Sun Jan 27 15:19:38 +0800 2013,0,1,0,1,,2,3,2
939,3171195100,王合英,,,,234892023,f,334,45,195,4440,0,Mon Jan 28 01:03:34 +0800 2013,0,1,0,1,,3,2,2
940,3174986843,什么我还有一哥叫阴老尸,,,,,m,21,1,1,612,1,Wed Dec 05 09:31:22 +0800 2012,0,1,0,1,,3,3,3
941,3176510165,正常居民李某某转世,我不是英雄，但我不会让英雄孤立无援！ 快乐足彩群：310832157 暗号：李某某,,,,m,334,72,563,7203,1,Fri Dec 07 10:06:16 +0800 2012,0,1,0,1,,0,2,2
942,3177571794,AJZNL,,,,,f,21,2,44,11,0,Mon Feb 04 00:08:04 +0800 2013,0,1,0,0,,1,3,3
943,3184184542,手机用户3184184542,,,,,m,3,0,21,2,0,Sat Feb 09 10:03:49 +0800 2013,0,1,0,1,,3,3,3
944,3188541841,雪中飞舞0922,,,,,m,5,0,28,15,0,Thu Dec 13 17:10:53 +0800 2012,0,1,0,1,,3,3,3
945,3189089891,Rui-Sir,,,,,f,44,7,55,0,0,Thu Dec 13 20:56:18 +0800 2012,0,1,0,1,,2,3,3
946,3192813874,不许摸我屁股,,,,,m,51,15,123,467,145,Sun Feb 17 18:59:07 +0800 2013,0,1,0,1,,1,2,2
947,3193914853,多一分-理智,,,,,m,10,7,33,27,0,Tue Dec 18 09:23:41 +0800 2012,0,1,0,1,,1,3,3
948,3195389064,陈酿老久,,,,,m,40,2,239,981,198,Mon Feb 18 23:43:07 +0800 2013,0,1,0,1,,1,3,3
949,3196293210,清江黄坚,看热闹的。,http://blog.sina.com.cn/u/3196293210,,,m,757,203,209,4903,76,Wed Feb 20 21:57:36 +0800 2013,0,1,0,1,,0,1,1
950,3197007255,生铁铧,管理学博士， 兴趣：技术创新战略管理、企业经营实践、交友等,,,,m,125,16,839,4292,52,Wed Dec 19 18:41:37 +0800 2012,0,1,0,0,,1,3,2
951,3197910524,白羊座之爱,才离楼市，又进传媒，2014，孕育多种可能！,,,,m,15,5,47,4,0,Thu Feb 21 11:11:21 +0800 2013,0,1,0,1,,2,3,3
